Stock,Score,Signal,Reason
RELIANCE,2,Good,Q1 beat + Jio listing momentum
ASIANPAINT,-2,Poor,Q1 miss + margin compression
DIVISLAB,1,Neutral,Awaiting pharma export recovery
APOLLOHOSP,3,Good,Expansion + Q1 margin beat
BHARTIARTL,2,Good,ARPU growth + 5G capex tapering
JINDALSTEL,2,Good,Steel demand improving + margin expansion
HDFCAMC,1,Neutral,Stable AUM growth + high ROE
ITC,1,Neutral,FMCG stability + yield play
BAJFINANCE,0,Neutral,"Flat growth, but digital push strong"
BEL,2,Good,New defense orders + govt support
